username, created_at, lng, lat, text
Noah_peachtree, Thu Jan 28 07:21:54 +0000 2021, -91.401008, 30.937336, How bout y’all start investing in $YOURSELF 
Exotic6932, Thu Jan 28 07:21:54 +0000 2021, -97.285913, 32.779967, @adriansnupe ??? 
kantguardme, Thu Jan 28 07:21:55 +0000 2021, -89.922029, 35.133521, @ItsKingsBruh lmaooo boy was pissed off 
CarribGoddess, Thu Jan 28 07:21:55 +0000 2021, -118.411907, 34.020789, @LegalSojourner MESSAGE 🗣 
QualOverQuan, Thu Jan 28 07:21:55 +0000 2021, -118.411907, 34.020789, I haven't nutted in over a week...who have I become? Someone please send help! 
makinmonkey, Thu Jan 28 07:21:56 +0000 2021, -79.272570, 43.629311, @ThatAIChick Нет. Но иногда пишут, и я отвечаю, можем пообщаться. Кроме одного, который пишет, когда бухой, так что я даже и не отвечаю ему 
DancesWithRain, Thu Jan 28 07:21:56 +0000 2021, -122.330602, 47.614817, @ValGal1212 LOL 
jguzman_13, Thu Jan 28 07:21:56 +0000 2021, -96.621634, 32.907642, 📲📈📉 
LifesabeachSims, Thu Jan 28 07:21:56 +0000 2021, -80.516060, 27.872898, https://t.co/gNz2NDnU9h 
alexblasig, Thu Jan 28 07:21:57 +0000 2021, -96.761753, 32.819858, @redrock_bball Never been gone. 
BTT_FUT, Thu Jan 28 07:21:57 +0000 2021, -83.314841, 42.293493, Been checking stocks for a minute #AMC https://t.co/zf3XCCX2kr 
wendygkennedy, Thu Jan 28 07:21:57 +0000 2021, -117.990000, 34.525100, Good night everyone 😘 @ Littlerock, California https://t.co/fSc9EpdKPc 
MommaLexie, Thu Jan 28 07:21:57 +0000 2021, -118.411907, 34.020789, @choycebrown Choyce* 
yppop1231, Thu Jan 28 07:21:57 +0000 2021, -121.469664, 38.561722, @redsteeze @DonaldJTrumpJr Hey dumbass,65 million Americans r over the age of 65! Daddy trying to get20million in T… https://t.co/FO0PkpWllb 
NewsongMichael, Thu Jan 28 07:21:58 +0000 2021, -86.244729, 32.364145, @DonaldJTrumpJr How in the world dud you even get verified? 
